Año;PIB (USD);Crecimiento PIB (%);Gasto público (Bs);"Recaudación Tributaria
(Bs)";"Precio internacional gas por m3
(USD)";Cantidad exportada gas en m3;"Precio minerales
(Oro por tonelada. USD)";"Cantidad exportada minerales
(Oro en toneladas)";Deuda interna (Bs);Intereses pagados de deuda interna (Bs);"Deuda externa
(USD)";"Intereses pagados de deuda externa
(USD)";Tasa de interés internacional (%);"Amortización deuda interna
(Millones de Bs)";"Amortización deuda externa
(USD)";Tipo de cambio (Bs/USD);"Remesas
(millones de USD)";"Subsidios
(USD)";"Riesgo país
(puntos básicos)";"Exportaciones Totales
(USD)";"Importaciones Totales
(USD)"
2020;32,329 millones ;-11,11%;N/D;24,225 millones;$0.0020;355.4 millones;$56,900,000;24;71,039 millones;1,207 millones;12,698 millones;815 millones;0,25%;Refinanciado;750 millones;6,96;1,116;350 millones;275;6,987 millones;7,080 millones
2021;40,703 millones;6,11%;295,600 millones;27,393 millones;$0.0039;412.5 millones;$57,800,000;45,9;95,253 millones;1,574 millones;12,697.7 millones;826.7 millones;0,25%;Refinanciado;890 millones;6,96;1,395;680 millones;400;11,030 millones;9,613 millones
2022;44,315 millones;3,48%;304,045 millones;32,239 millones;$0.0064;360.9 millones;$57,900,000;63;118,5 millones;2,05 millones;13,300.3 millones;1,243 millones;4,50%;Refinanciado;1,056 millones;6,96;1,437;1,700 millones;560;13,671 millones;13,067 millones
2023;45,460 millones;3,10%;243,950 millones;32,400 millones;$0.0025;270.7 millones;$62,400,000;41;128,115 millones;N/D;13,588.4 millones;119.7 millones;5,50%;Refinanciado;862 millones;7,8;1,437;1,821 millones ;2,087;10,911 millones;11,496 millones
2024;46,967 millones;0,73%;265,558 millones;34,946 millones;$0.0022;200.3 millones;$72,300,000;N/D;N/D;N/D;13,364.9;1,526 millones;5,50%;Refinanciado;N/D;10,5;N/D;N/D;2,233;9000 millones;9,500 millones
